p21003_i0,p31,p54_i0,storage_time,p1558_i0,p20116_i0,p23099_i0,p1160_i0,p22189,p884_i0,p1438_i0,p6138_i0,p1528_i0,p1458_i0,grip_strength,p1289_i0,p1299_i0,p1309_i0,p1319_i0,p1329_i0,p1339_i0,p1349_i0,p1359_i0,p1369_i0,p1379_i0,p1389_i0
,0.023960283504704652,0.015383196621952864,-0.023194580924075534,-0.055487118798917184,0.15430753308430956,0.11020163635232247,0.05488546234427163,-0.06492239393113262,0.07219029920302789,0.027409468144465043,0.12605509850752722,-0.11838293978788723,0.10363023356158835,-0.19093258377399053,0.09691746188843177,0.004191643739198539,0.07953910490913865,0.09196575600231813,-0.029474196979777587,0.027033315518731445,0.014713764944296336,0.0826637370922895,-0.010517934274668527,0.043012016847694665,0.030328252939923493
0.023960283504704652,,0.2423253734650342,0.004825552529672227,0.31214463559938527,0.24997734758071438,-0.6565570023572066,0.14146293839257282,0.011755420268440595,0.00048179311749336286,0.30949048697311116,0.2247028975663073,-0.1194329496952124,-0.01914993058049802,0.7327481210476011,0.0024273082880673356,-0.10441045053819482,-0.11712628776334802,-0.06442441039831452,0.2684672469699344,0.2652504179498802,0.3313915053415995,0.3599147968838995,0.24567529376775626,0.19835465487039813,0.20444078503667165
0.015383196621952856,0.2423253734650342,,0.02619687757506617,0.33607687029981564,0.2933296872705677,0.011115213299690535,0.2812010518879394,-0.08620238144541531,0.012826209237525909,0.022167906626994,0.2398232674988701,-0.02082430508675896,0.015375138917839993,-0.007662201480804094,0.011988944720422173,0.0041751452459779514,0.006178495545726687,0.003059004953226262,0.31363240524006014,0.31491924692958306,0.3306890055573052,0.3606687850348728,0.3010804831189646,0.2825946547795265,0.2835433300145901
-0.023194580924075534,0.004825552529672228,0.02619687757506616,,0.0004180439146613183,-0.007895793571269703,-0.00016632119745672473,0.00023021708096012978,-0.004367527418254464,-0.018211949717790173,0.017588624673871765,0.013245789692124747,0.015136423825207761,0.0006050916188038904,0.05184555964621355,-0.014962127608060203,-0.005181225209290811,0.008844826938982983,-0.006210961831233527,-0.0051236808728172215,-0.0015133442582356412,0.003101345788443381,-0.0012982123433269298,-0.008368392926012158,0.009902147352824821,-0.0002893729319216283
-0.055487118798917184,0.31214463559938527,0.33607687029981564,0.00041804391466131863,,0.3372497240739001,0.04434090875760533,0.2567744415183153,-0.005782252436612403,-0.009387675728835298,-0.0005501368876599775,0.28989636589788903,0.018265756454087206,0.04932540367365116,-0.030274521006496424,-0.007488772768930676,-0.0009422110164785983,0.044580898655129396,0.010314925796020029,0.3420753412630345,0.3415803963266155,0.36798809099741503,0.41344156928468123,0.32589651861327223,0.2996462793166045,0.3015914730279511
0.15430753308430953,0.24997734758071438,0.2933296872705677,-0.007895793571269707,0.3372497240739001,,0.03828893834831337,0.1915644887588907,-0.0263093943981332,0.00912854459526238,0.001967884623131213,0.24282686209677212,0.015949820876203693,0.029427069601695083,0.02321158068274718,0.05435654412372367,0.04364688476351095,0.05710082961633255,0.020040496174171214,0.3024512450919736,0.2992332714436394,0.33218123525059967,0.38427537421495056,0.27832409191032004,0.23907653397763345,0.24291009833711683
0.11020163635232247,-0.6565570023572066,0.01111521329969054,-0.00016632119745672486,0.044340908757605345,0.03828893834831337,,0.022167407463039572,0.044733962632327484,-0.09707138589261113,-0.21949516195937588,0.12621907160345755,0.07756484264276528,-0.036702960773868844,-0.5393930721447704,0.00841012992302679,0.049769569028979804,0.06283289193998975,-0.013004739149846027,0.0071094779417261,-0.0063101118690130804,0.05917217194801117,-0.04369965753643352,-0.00846676756206016,0.009451384334170846,0.016414762020522798
0.054885462344271614,0.14146293839257282,0.2812010518879394,0.0002302170809601314,0.2567744415183153,0.1915644887588907,0.02216740746303957,,-0.045720579149524855,-0.004511833469214779,-0.0030344193435090944,0.12710894730492867,-0.02581399676378392,0.03578806872433742,-0.018958085093302893,0.01161493651912386,-0.006884140537981248,-0.015339092896922433,0.0021862848979505725,0.21520432457601235,0.2146275986559064,0.2494225205746526,0.29987175827432444,0.19132405435806638,0.14420769555437163,0.1487345770536415
-0.06492239393113262,0.011755420268440595,-0.08620238144541531,-0.004367527418254464,-0.0057822524366124,-0.02630939439813319,0.044733962632327484,-0.04572057914952487,,0.023923959228460048,0.04538690302233994,0.07364849502130383,0.0421250437101622,-0.09488607333230699,-0.049864938512376736,-0.023265524970905414,-0.002964732550077022,-0.03168172968947413,-0.03613846016555876,-0.007056234819331542,-0.014485354575400127,-0.02133928415189715,0.025281032814253705,0.0016429528901689362,0.020773771060691757,0.016535384040952186
0.07219029920302789,0.000481793117493405,0.012826209237525893,-0.018211949717790176,-0.009387675728835322,0.009128544595262363,-0.09707138589261113,-0.004511833469214782,0.02392395922846005,,0.05069184724569816,0.040221864229472756,0.05950408748292028,0.03266055674934651,0.026421145373956643,0.08964299368575915,0.09269419416694602,0.08780959590960291,0.0724925655691969,-0.024225100427428134,-0.012385437138269359,0.005938369550028789,-0.00013924295304919206,-0.0003070447548096561,0.016539223864799786,0.010422600221630069
