coefficient,hazard_ratio,pvalue,covar,disease
-0.047700147646011465,0.9534196293403219,0.0036745729902048843,Alcohol intake frequency,p130070
0.12713130781940699,1.1355661167029218,2.2323263211714187e-5,Smoking status,p130070
0.015268053795707448,1.0153852059983972,2.1945621824711237e-5,% body fat,p130070
0.043715704954446905,1.044685313807913,0.1838801110469693,Hours slept per day,p130070
0.05179691021499967,1.0531618343823066,3.4752837142825674e-8,TDI,p130070
0.5444515338852569,1.723662752464187,1.7933938162944257e-13,Education,p130070
-0.04290212406647893,0.9580051511269647,0.0019306525195359628,Days/week moderate activity,p130070
-0.0059899540817007066,0.9940279499273488,0.03733834381923737,Grip strength,p130070
-0.00752306992280078,0.9925051575376564,0.6639652708904307,Cooked veg intake,p130070
-0.050108944292629076,0.9511257991287327,0.003809792570256319,Raw veg intake,p130070
-0.07887949868096053,0.9241512791838893,6.238562183317239e-4,Fresh fruit intake,p130070
-0.05211353654504878,0.9492210894416858,0.049721627360086854,Dried fruit intake,p130070
0.02917761743804529,1.0296074544733438,0.16847171994819693,Oily fish intake,p130070
0.011523385085205645,1.0115900350521634,0.5826459002734414,Non-oily fish intake,p130070
-0.05270448655213875,0.9486603129439076,0.007798096554963413,Processed meat intake,p130070
0.015681548960343458,1.0158051496876794,0.3385451429804784,Poultry intake,p130070
-0.022856111284275234,0.9774031109340814,0.369138886882761,Beef intake,p130070
0.05562256859397155,1.0571985884761066,0.10303482921771454,Lamb intake,p130070
0.06414161496949346,1.0662433840946723,0.04281719306351898,Pork intake,p130070
0.00813396313628221,1.008167133689458,0.012397192280951106,Bread intake,p130070
-0.011487449233741346,0.9885782795849675,0.3013560827323865,Cereal intake,p130070
-0.014282441765279822,0.9858190684601721,0.32974764358590014,Water intake,p130070
-0.06813973082839697,0.934129937707457,0.019939641600490544,Alcohol intake frequency,p130340
0.1733760029866119,1.1893132063406617,0.0023438586840110894,Smoking status,p130340
0.03083671952046752,1.0313170961880365,9.739117814517964e-6,% body fat,p130340
-0.024647116657871688,0.9756541433828834,0.7132451749556781,Hours slept per day,p130340
0.06850340060299348,1.0709042666650423,5.579919078299052e-5,TDI,p130340
0.652094906569727,1.9195579143212522,7.893177943658363e-6,Education,p130340
-0.06538041489535326,0.9367110567518765,0.010552832616521016,Days/week moderate activity,p130340
-0.0050003026071352655,0.995012178094852,0.32631923837583837,Grip strength,p130340
0.021205883075717878,1.021432325619695,0.355767008243129,Cooked veg intake,p130340
-0.03250509860809398,0.9680175142767904,0.2916441001073569,Raw veg intake,p130340
-0.03586933799495691,0.964766343552813,0.3805117587713857,Fresh fruit intake,p130340
-0.07263201169321515,0.9299429752100722,0.2391417023411747,Dried fruit intake,p130340
0.030950661370290122,1.0314346130606475,0.44390442659070345,Oily fish intake,p130340
0.011414435412166768,1.0114798286521798,0.7620418104117117,Non-oily fish intake,p130340
