coefficient,hazard_ratio,pval,protein,epv,disease,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
0.1992590182882781,1.220498056278895,0.0264636994354419,aamdc,2.875,p131874,0.1573278943759953,1,0,0.13748023756315492,0,0,0.4061141837293206
0.1770242825673048,1.1936600779064055,0.0338548475128411,ace2,2.892857142857143,p131874,0.1572496158030308,1,0,0.1639165696695862,0,0,0.46373184841005183
0.1037099074913206,1.1092786148199416,0.0474604995342988,actn4,2.8392857142857144,p131874,0.109620966543619,1,0,0.20756259168165214,0,0,0.5171452207267266
0.1711422751432676,1.1866595691721853,0.0339858272464901,adamtsl2,2.982142857142857,p131874,0.1462396883821652,1,0,0.16432634924421846,0,0,0.46373184841005183
-0.27168162418851,0.7620968556745238,0.0105235993599895,adgre2,2.9642857142857144,p131874,-0.2159437517273052,1,0,0.06901903875945796,0,0,0.30579454535813844
-0.2770692622769452,0.7580019943482413,0.0260716800250879,adipoq,2.9642857142857144,p131874,-0.2032744735741727,1,0,0.13606310052780649,0,0,0.4061141837293206
0.2459725221656887,1.278864432633956,0.0026643297553754,ahnak,2.875,p131874,0.1945375294913254,1,1,0.023063445645973468,0,0,0.18411102946352645
0.2795260586571483,1.322502874994909,0.0029403612687419,ahsp,2.9642857142857144,p131874,0.2100094909096056,1,1,0.02502199175079894,0,0,0.18837538046794305
0.1869267454115432,1.2055389705540869,0.0263970272995912,aldh1a1,2.9642857142857144,p131874,0.1540981619015091,1,0,0.13720926022530966,0,0,0.4061141837293206
0.2207805919995455,1.2470497878450435,0.0092583555657446,ambp,2.946428571428572,p131874,0.1775872089745238,1,0,0.06254981562212479,0,0,0.28457261317867616
-0.2358084316698362,0.7899319853904826,0.0129470518660492,amigo2,2.9107142857142856,p131874,-0.1854569549117655,1,0,0.08094863084963565,0,0,0.3358577929132965
0.2274186109584734,1.2553552634345022,0.0064830170254482,amn,2.8392857142857144,p131874,0.1779628042085954,1,1,0.047393758401500646,0,0,0.23913448561483167
-0.2116167981613797,0.8092747537292379,0.0375900245530198,angpt2,2.9642857142857144,p131874,-0.1668635921776607,1,0,0.17648774057960817,0,0,0.48141610392463957
0.1486861027978233,1.1603087143805466,0.0250722072481355,anxa1,2.892857142857143,p131874,0.1500718581375447,1,0,0.1322267588629425,0,0,0.4061141837293206
0.2280742137350898,1.2561785476750786,0.0015764623233691,anxa2,2.875,p131874,0.2017289425487084,1,1,0.014946302983021988,0,0,0.16366259307999514
0.2255004011973601,1.2529495367963388,0.0189244103600552,apex1,2.9642857142857144,p131874,0.1834148745051038,1,0,0.1073240866300857,0,0,0.386756434178419
