disease,protein,coefficient,pval,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
p131874,acadm,-0.4946614554873824,0.0335834449710603,-0.6225988912456824,1,0,0.7267064095601484,0,0,0.9683402713553312
p131874,ak2,-0.7234001741603835,0.0250507158796338,-0.525023229973387,1,0,0.6507664393429236,0,0,0.9683402713553312
p131874,akt2,-0.6005367129024196,0.0451391435184205,-0.4521004342440614,1,0,0.8010201582483865,0,0,0.9683402713553312
p131874,ankmy2,-0.9392128354540542,0.010082239278344,-0.6920187325269671,1,0,0.45282123333682744,0,0,0.9683402713553312
p131874,ap3s2,-0.8713034449813587,0.0297560412816852,-0.7216919863347021,1,0,0.6959934673998385,0,0,0.9683402713553312
p131874,arg1,1.0015461932415914,0.0089428627685642,0.7580523255655206,1,0,0.42653206307776076,0,0,0.9683402713553312
p131874,arg2,-0.9185856905506424,0.022522179511926,-1.0142175891561995,1,0,0.6248212137993765,0,0,0.9683402713553312
p131874,arid4b,0.3171541414835175,0.0339874563726988,0.3443850639526715,1,0,0.7302220608996518,0,0,0.9683402713553312
p131874,artn,0.3324588602535676,0.009956301927386,0.3527527574993805,1,0,0.44953863583517123,0,0,0.9683402713553312
p131874,aspn,-0.8249048537437155,0.0336767349016922,-0.6801091056448816,1,0,0.7277388416670144,0,0,0.9683402713553312
p131874,atf4,-0.8203201699590074,0.01304957081886,-0.8341166364170015,1,0,0.5029586357371494,0,0,0.9683402713553312
p131874,bcat1,-1.1456330613990335,0.0090821169990928,-0.9694271972930348,1,0,0.4297038378966179,0,0,0.9683402713553312
p131874,blvrb,0.7429518469160759,0.0172076878266307,0.5959698867184315,1,0,0.5663317499813408,0,0,0.9683402713553312
p131874,brme1,-0.9154149954690308,0.0108810714884765,-0.9134659544858548,1,0,0.46664175314716466,0,0,0.9683402713553312
p131874,c8b,-0.9213062798738646,0.0208859129437239,-0.7044768193527451,1,0,0.608277373894767,0,0,0.9683402713553312
p131874,c9orf40,0.8163387336866562,0.0200868250465506,0.6305177769524234,1,0,0.6009766710670071,0,0,0.9683402713553312
