disease,protein,coefficient,pval,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
p131874,blnk,0.3011770676923047,0.0483866149501736,0.2708161935033708,1,0,0.5663593294140816,0,0,1.0
p131874,boc,-1.0332362810152012,0.0272876386125023,-0.7958164943616142,1,0,0.40627385481771533,0,0,1.0
p131874,cd36,0.5496659950291903,0.0385780333030919,0.4280971145588478,1,0,0.5002080304806049,0,0,1.0
p131874,cd7,0.5460615677793631,0.0166420436539116,0.4681443872820112,1,0,0.29632562730030065,0,0,1.0
p131874,ceacam19,0.0710440452337692,0.0483988107868904,0.0556843592575019,1,0,0.5663593294140816,0,0,1.0
p131874,cst6,0.6254578325154431,1.908029290120794e-12,0.4710341888028652,1,1,3.1022962994616763e-10,1,1,5.5714455271527186e-09
p131874,cxcl11,0.2419632439798743,0.0082413713933797,0.1966061968239123,1,0,0.17915024690591827,0,0,1.0
p131874,dennd2b,0.1245594386087974,0.0327599717237803,0.166004236769467,1,0,0.4550344397805465,0,0,1.0
p131874,dynlt1,0.4341119343012765,0.045102524437689,0.3793483898252714,1,0,0.5460904348482304,0,0,1.0
p131874,fgf6,0.2259551789905296,0.0132248397521731,0.2616645096893603,1,0,0.25164390883455107,0,0,1.0
p131874,fnta,0.1346782186791127,0.0193780557872484,0.1212556590338048,1,0,0.3265777155658662,0,0,1.0
p131874,gad2,0.197091017054605,0.0457076832499513,0.2301127214483238,1,0,0.5498732102247946,0,0,1.0
p131874,gchfr,0.4392477183101742,0.0431147462334946,0.3840411745230759,1,0,0.532148529998968,0,0,1.0
p131874,gipr,0.344667315432505,0.0038537069633538,0.3371424676256545,1,0,0.10106802271745803,0,0,1.0
p131874,hs6st1,0.2237728092381316,0.0192849682879744,0.182365178494274,1,0,0.32556834807119284,0,0,1.0
p131874,igfl4,0.2163662850435256,0.0294893739163998,0.3052461552879727,1,0,0.42617857407331405,0,0,1.0
p131874,il18,0.1839643601603288,0.016793007180872,0.1450100779089848,1,0,0.2979834953916346,0,0,1.0
p131874,il18r1,0.2802254475463799,0.0483531578721242,0.2090085804783769,1,0,0.5663593294140816,0,0,1.0
p131874,il21r,0.2366148127815475,0.0292438174015983,0.3136561730346976,1,0,0.42397295064253093,0,0,1.0
p131874,kir3dl2,0.3108138032359233,0.0303366119381642,0.429209115637134,1,0,0.4340228624647837,0,0,1.0
p131874,magea3,-0.290113614064255,0.002637916548335,-0.2833560459508011,1,0,0.0747387418314282,0,0,1.0
p131874,micall2,0.4584899209727621,0.0118930413096076,0.4249935389181017,1,0,0.23359606848302344,0,0,1.0
p131874,nedd9,0.3304831162148269,0.0401784014599846,0.3204625775407053,1,0,0.5120054240559996,0,0,1.0
p131874,nhlrc3,1.0067886619273438,0.0326516664854645,0.7949810979632627,1,0,0.45416223794770355,0,0,1.0
p131874,pikfyve,0.3829715223585235,0.0263194062144991,0.3566578620065707,1,0,0.3973794792660046,0,0,1.0
p131874,prss22,0.3258108090566148,0.0340413991794423,0.3073845000374784,1,0,0.46463713831790443,0,0,1.0
p131874,pxdnl,0.0607124135339313,0.0149004583506751,0.0769286183759972,1,0,0.27440388495507956,0,0,1.0
p131874,reg3g,-0.078216042402406,0.0455378826030573,-0.0686296522499327,1,0,0.5486572612297875,0,0,1.0
p131874,rtn4r,0.8996208401678683,8.291981039643126e-05,0.6903013832392536,1,1,0.0037157989129795667,0,0,0.12106292317878964
p131874,scn3a,0.2276192933388239,0.0452653086997423,0.2482677649842638,1,0,0.5471899995112323,0,0,1.0
p131874,serpina12,0.1940689616883097,0.0265502321740009,0.1729271889085487,1,0,0.39942926788484445,0,0,1.0
p131874,spint3,0.3970461640221355,0.0190558882093584,0.2178395016366475,1,0,0.32322940517871124,0,0,1.0
p131874,spred2,0.3484459031723277,0.0467443992661213,0.3354008072869466,1,0,0.5566826664298693,0,0,1.0
p131874,sv2a,0.3618036803761335,0.0448861851408999,0.3316534260190224,1,0,0.5450416571999226,0,0,1.0
p131874,tff3,0.1691512388150821,0.0226355262298504,0.1907870905174325,1,0,0.3604010067300622,0,0,1.0
p131874,thap12,-1.18990859243029,0.0466125187772711,-1.4650475182229783,1,0,0.555775357372339,0,0,1.0
p131874,trim26,0.5016366360097949,0.0029592066294683,0.5277062717104616,1,0,0.08188591447037367,0,0,1.0
p131874,tshb,0.1971839489640816,0.0317861461419709,0.1762259288034459,1,0,0.4466368937567354,0,0,1.0
p131874,zbp1,0.2970601502752762,0.038032710875921,0.3193925680961071,1,0,0.4961592272247673,0,0,1.0
p131874,znrf4,0.1766192277981879,0.0135687821494252,0.1542399951728912,1,0,0.25629475948041813,0,0,1.0
p130770,acvrl1,0.0037598204720636,3.1715745311466925e-05,0.0029711220852997,1,1,0.0015629303935664712,0,1,0.0005859383580010883
p130770,adamts1,-1.4065488855078916,0.0392909335640185,-1.2557501348139073,1,0,0.5051537926338662,0,0,0.5334429538296279
p130770,adgrg1,0.0014010274471969,0.0117037953737547,0.0017528754345049,1,0,0.23084453222366205,0,0,0.19411010622721575
p130770,afap1,1.2555435006858089,0.032913194114293,0.9786545954784508,1,0,0.4561705849182805,0,0,0.47326903260897174
p130770,afp,-0.0004500334450068,0.0001797248966068,-0.0003414937282413,1,1,0.007541596745525552,0,1,0.0032994778188380454
