p21003_i0,p31,p54_i0,storage_time,p1558_i0,p20116_i0,p23099_i0,p22189,p6138_i0,p884_i0,p1438_i0,p1458_i0,p1329_i0,grip_strength,p1349_i0,p1359_i0,p1389_i0,p1309_i0,p1319_i0
,0.01983353374446808,0.028402220833256508,-0.03375476557759774,-0.05742380438614312,0.15176611576141727,0.12243072645340626,-0.05735364975014201,0.13119304767200488,0.0594463522375807,0.029141649383751505,0.10533819125923082,-0.02356379341730743,-0.19350838287173752,0.01696567346832004,0.07953914896988185,0.03763851144413325,0.0862353518894127,0.09176384024652057
0.019833533744468078,,0.25391688935762785,0.002333262984045452,0.31387002952919224,0.2511795309316159,-0.6542560367379406,0.011452753973793231,0.2257670345117664,-0.0010579837547687206,0.3035686201978672,-0.013263168314067745,0.2681274538727534,0.7363017991231908,0.3301892202266231,0.3581469099137561,0.20442594700583774,-0.12146163022683323,-0.06755783077827679
0.028402220833256504,0.25391688935762785,,0.05717519209263106,0.3458584945414069,0.30509067671012435,0.006552826402690851,-0.1170998105292863,0.25024189590337836,0.010422558733914003,0.03629241199124352,0.02676185780882482,0.3239900874652137,0.0012111591970296884,0.3404739422513051,0.36847104416364196,0.29462775933551666,0.003810103236498612,0.002421189872389791
-0.03375476557759774,0.002333262984045451,0.057175192092631055,,0.004271008963625235,-0.023662704039349666,0.006318996014059405,-0.021394004921840397,0.01957346965309168,-0.024579120790772842,0.01839427509416519,0.004092489238013086,-0.0022888414575147854,0.0715766235771262,0.008312854421859375,0.00946063797289042,0.004136817895522537,0.026434766249419005,0.005817398879958517
-0.057423804386143106,0.31387002952919224,0.3458584945414069,0.004271008963625232,,0.34000719219834696,0.042926896143676736,-0.015868103571624638,0.29096966804501806,-0.009607252252158064,-0.0030952613624091845,0.05073029909781644,0.3406835382829422,-0.03340625020632963,0.3669104624980407,0.41421241536751835,0.3031381840751728,0.05079347831827063,0.006165055466831153
0.15176611576141727,0.2511795309316159,0.30509067671012435,-0.023662704039349673,0.34000719219834696,,0.036437880934102405,-0.028546253673202352,0.2450695241553605,0.005158212679044961,-0.005349426158338104,0.030345783504851644,0.30164214832880265,0.021305800343070194,0.33225209789417265,0.38291718545533276,0.24310133141669973,0.054299300468009196,0.02738730112018719
0.12243072645340626,-0.6542560367379406,0.006552826402690855,0.006318996014059406,0.042926896143676736,0.03643788093410241,,0.043098845217422806,0.12765822506499622,-0.09367603337812112,-0.2224142521162919,-0.035306552069143744,0.009503883745707039,-0.5399299130841703,0.061219423797794395,-0.03476764087880749,0.017478265904857675,0.06789444213149061,-0.012662353474875168
-0.05735364975014201,0.011452753973793228,-0.11709981052928631,-0.021394004921840397,-0.015868103571624638,-0.02854625367320235,0.043098845217422806,,0.06482506567397453,0.03283153585548125,0.033047694525532655,-0.10482579178661387,-0.007535094558429543,-0.05422576021248152,-0.026348150190636657,0.026575938975957197,0.016422501757606473,-0.019430538378393165,-0.04324997936291138
0.1311930476720049,0.2257670345117664,0.25024189590337836,0.01957346965309168,0.29096966804501806,0.2450695241553605,0.1276582250649962,0.06482506567397453,,0.03412690985447595,0.023051133093640902,-0.023898653216686595,0.25746727652209195,-0.09097491077270013,0.3027360455649503,0.3587948054410785,0.18645422611038848,-0.03795525828944426,-0.06383050539189257
0.0594463522375807,-0.0010579837547687295,0.01042255873391399,-0.024579120790772842,-0.009607252252158055,0.005158212679044952,-0.0936760333781211,0.03283153585548125,0.034126909854475945,,0.050281227431957225,0.023201817800140113,-0.03522018602482983,0.019480995144066093,0.004647482612937305,0.008399824176218883,0.01564624681418822,0.08396645820110633,0.07933332930483937
