p21003_i0,p31,p54_i0,p22000,p22008,p1558_i0,p20116_i0,p23099_i0,p1160_i0,p189,p6138_i0,p884_i0,p1438_i0,p1458_i0,p1528_i0,grip_strength,p1289_i0,p1299_i0,p1309_i0,p1319_i0,p1329_i0,p1339_i0,p1349_i0,p1359_i0,p1369_i0,p1379_i0,p1389_i0
,0.024976250758677758,0.02055469906233508,0.005640346145830084,-0.0007634134412350422,-0.05670961634558692,0.15146580824581202,0.11081306355268637,0.05535192534180458,-0.06378789475470696,0.12475817640092719,0.07353799388782505,0.030090407857073936,0.10210725578056469,-0.12060618638069316,-0.19114783829647797,0.09331014342090016,0.005097427471574695,0.08163220067337372,0.09167253325025165,-0.02885281339645967,0.029197178716046532,0.015218602841840657,0.08214738816094411,-0.010053005468679406,0.04195232354004493,0.03160416789720132
0.024976250758677772,,0.2533962029199086,0.1855706723323163,0.18880135377883092,0.3133974256314911,0.2502623252312857,-0.6537924465561865,-0.018803005920646824,0.011917349722314917,0.22580614932033347,-0.002599850262911917,0.3063541343452923,-0.01741307314000776,-0.11918618976360576,0.7321960394815472,0.0022475652250950502,-0.10586544155741372,-0.11526239005228305,-0.06490282593090721,0.26766160041966064,0.2636456045508357,0.3304027312977489,0.3592562971174706,0.24461249001372712,0.19794286370138217,0.20409725837023066
0.02055469906233508,0.2533962029199086,,0.34886506090009894,0.35024745199851265,0.3459793353220476,0.30446272982389866,0.011116181674033271,0.00842070169378195,-0.1029354729399232,0.25046813838275317,0.007680168814100304,0.02271597138230673,0.01953539291437518,-0.0200831130614028,-0.0026687163904487404,0.011212141054703645,0.00052094950043752,0.004953691109237766,7.6978769248713e-05,0.324318037837006,0.32515817284719983,0.34059216231138023,0.37076101475921264,0.3120704142589538,0.29369435199809696,0.29497254468650236
0.005640346145830083,0.1855706723323163,0.34886506090009894,,0.42244150975381994,0.2689751795166594,0.23300467775316167,0.0065461070216140315,-0.0015966483032829998,0.024114350367786645,0.19019296893366805,-0.00169845036815874,0.010763478838375602,-0.020033961983043143,-0.013560149835322907,0.006186505406506377,-0.007592942106241229,-0.009331247637447297,-0.014348716201477868,-0.011003570154964505,0.2546485158053734,0.2579991780397421,0.25770566280067597,0.26862363364400343,0.24883238576537048,0.24032294551075387,0.24038657846446818
-0.0007634134412350443,0.18880135377883092,0.35024745199851265,0.42244150975381994,,0.2723196070122684,0.23549737880530844,0.0008298898649644751,0.0002507960847325284,-0.006331614537654919,0.19338376383616004,-0.004282651796814924,0.0007403628829294369,-0.0017845830986808302,0.0016987655516493443,0.004820608336325184,0.0010109505880920638,-0.003105961396035539,-0.0002715317603478506,-0.0015191555784197994,0.2585365452416472,0.2615413628739504,0.262221415223829,0.27426015954101063,0.2526558253094016,0.24360640677381917,0.2438104357523185
-0.05670961634558692,0.3133974256314911,0.3459793353220476,0.2689751795166594,0.2723196070122684,,0.33848229545025343,0.04644816577623247,-0.008478463784942339,-0.007816385958899538,0.2909774212808537,-0.010089330344285318,-0.002371089234337746,0.05256088773258355,0.019579790131437395,-0.027333867346373508,-0.006571725530998019,0.0024272338612517227,0.043366014149907844,0.0077706302524828946,0.34228450577789543,0.34150627078183077,0.3678202089534062,0.4138946620408044,0.3262369019611098,0.3004309524234375,0.30222450219227004
0.15146580824581202,0.2502623252312857,0.30446272982389866,0.23300467775316167,0.23549737880530844,0.33848229545025343,,0.038729021870815276,0.015302651767162364,-0.026275028592659688,0.24365265619308435,0.009664779686238875,4.9601475130692645e-05,0.029042721476100875,0.015774319615010447,0.021784316481709868,0.05405141383892573,0.044272225766621945,0.0550249389792057,0.019948518045207166,0.3016439968971801,0.2973526192582439,0.3315918339840471,0.3839137964487859,0.27723585121153416,0.23876128170459454,0.2424623418918665
0.11081306355268636,-0.6537924465561865,0.011116181674033271,0.0065461070216140315,0.0008298898649644745,0.04644816577623247,0.038729021870815276,,0.023950174589080636,0.040855675267550254,0.13024852238083176,-0.09449328403032076,-0.21744439358051226,-0.03918564818775492,0.07483479667132491,-0.5378785976906423,0.007199205783498522,0.04995682162120988,0.06168181717295007,-0.013773260134011046,0.008953446722022858,-0.00581979833430669,0.05823878523654212,-0.044431154669527934,-0.009480278246615082,0.008772254574821734,0.016514392518337855
0.05535192534180459,-0.018803005920646824,0.008420701693781972,-0.0015966483032829966,0.0002507960847325228,-0.00847846378494235,0.015302651767162365,0.02395017458908064,,-0.043945859435648875,-0.008106116858501702,-0.00421852690706217,-0.004281088681137779,0.03738178808518569,-0.02498955258139248,-0.021213331041947517,0.012098284136369654,-0.00709959332978133,-0.01612896639079863,0.0036048736504257196,0.0024134493293244347,0.011248678699747298,0.008396118351914384,0.013974137948923292,0.0008088342078566591,0.008876283537381978,0.0069839753562001075
-0.06378789475470696,0.011917349722314917,-0.10293547293992318,0.024114350367786645,-0.006331614537654921,-0.007816385958899538,-0.026275028592659688,0.040855675267550254,-0.04394585943564888,,0.06300977790990679,0.02501847086742015,0.04319918502595235,-0.097811120506296,0.040650223203639355,-0.051036308897316925,-0.021120747958282164,-1.0924361463376028e-05,-0.030455171207892016,-0.03490927485330919,-0.007455632832027596,-0.01599078503086671,-0.02007715282577963,0.02571461249708832,0.0026977076423602988,0.023281559906552656,0.017688420699219
