disease1,disease2,gene_id,disease_pair
p130820,p131670,ENSG00000010704,p130820-p131670
p130820,p131670,ENSG00000197061,p130820-p131670
p130820,p131670,ENSG00000187475,p130820-p131670
p130820,p131670,ENSG00000180596,p130820-p131670
p130820,p131670,ENSG00000180573,p130820-p131670
p130820,p131670,ENSG00000168298,p130820-p131670
p130820,p131670,ENSG00000158373,p130820-p131670
p130820,p131670,ENSG00000197697,p130820-p131670
p130820,p131670,ENSG00000188987,p130820-p131670
p130820,p131670,ENSG00000197409,p130820-p131670
p130820,p131670,ENSG00000196866,p130820-p131670
p130820,p131670,ENSG00000197846,p130820-p131670
p130820,p131670,ENSG00000198518,p130820-p131670
p130820,p131670,ENSG00000187990,p130820-p131670
p130820,p131670,ENSG00000168274,p130820-p131670
p130820,p131670,ENSG00000196966,p130820-p131670
p130820,p131670,ENSG00000124575,p130820-p131670
p130820,p131670,ENSG00000198327,p130820-p131670
p130820,p131670,ENSG00000124578,p130820-p131670
p130820,p131670,ENSG00000256316,p130820-p131670
p130820,p131670,ENSG00000197459,p130820-p131670
p130820,p131670,ENSG00000256018,p130820-p131670
p130820,p131670,ENSG00000168242,p130820-p131670
p130820,p131670,ENSG00000158406,p130820-p131670
p130820,p131670,ENSG00000186470,p130820-p131670
p130820,p131670,ENSG00000215979,p130820-p131670
p130820,p131670,ENSG00000124508,p130820-p131670
p130820,p131670,ENSG00000026950,p130820-p131670
p130820,p131670,ENSG00000111801,p130820-p131670
p130820,p131670,ENSG00000112763,p130820-p131670
p130820,p131670,ENSG00000124557,p130820-p131670
p130820,p131670,ENSG00000228223,p130820-p131670
p130820,p131670,ENSG00000261353,p130820-p131670
p130820,p131670,ENSG00000182952,p130820-p131670
p130820,p131670,ENSG00000146109,p130820-p131670
p130820,p131670,ENSG00000181315,p130820-p131670
p130820,p131670,ENSG00000261584,p130820-p131670
p130820,p131870,ENSG00000164508,p130820-p131870
p130820,p131870,ENSG00000146047,p130820-p131870
p130820,p131870,ENSG00000146039,p130820-p131870
p130820,p131870,ENSG00000124568,p130820-p131870
p130820,p131870,ENSG00000124564,p130820-p131870
p130820,p131870,ENSG00000112337,p130820-p131870
p130820,p131870,ENSG00000112343,p130820-p131870
p130820,p131870,ENSG00000272558,p130820-p131870
p130820,p131870,ENSG00000272065,p130820-p131870
p130820,p131870,ENSG00000272462,p130820-p131870
p130820,p131870,ENSG00000272810,p130820-p131870
p130820,p131870,ENSG00000124610,p130820-p131870
p130820,p131870,ENSG00000198366,p130820-p131870
p130820,p131870,ENSG00000196176,p130820-p131870
p130820,p131870,ENSG00000124529,p130820-p131870
p130820,p131870,ENSG00000124693,p130820-p131870
p130820,p131870,ENSG00000137259,p130820-p131870
p130820,p131870,ENSG00000196226,p130820-p131870
p130820,p131870,ENSG00000196532,p130820-p131870
p130820,p131870,ENSG00000187837,p130820-p131870
p130820,p131870,ENSG00000010704,p130820-p131870
p130820,p131870,ENSG00000197061,p130820-p131870
p130820,p131870,ENSG00000187475,p130820-p131870
p130820,p131870,ENSG00000180596,p130820-p131870
p130820,p131870,ENSG00000180573,p130820-p131870
p130820,p131870,ENSG00000168298,p130820-p131870
p130820,p131870,ENSG00000158373,p130820-p131870
p130820,p131870,ENSG00000197697,p130820-p131870
p130820,p131870,ENSG00000188987,p130820-p131870
p130820,p131870,ENSG00000197409,p130820-p131870
p130820,p131870,ENSG00000196866,p130820-p131870
p130820,p131870,ENSG00000197846,p130820-p131870
p130820,p131870,ENSG00000198518,p130820-p131870
p130820,p131870,ENSG00000187990,p130820-p131870
p130820,p131870,ENSG00000168274,p130820-p131870
p130820,p131870,ENSG00000196966,p130820-p131870
p130820,p131870,ENSG00000124575,p130820-p131870
p130820,p131870,ENSG00000198327,p130820-p131870
p130820,p131870,ENSG00000124578,p130820-p131870
p130820,p131870,ENSG00000256316,p130820-p131870
p130820,p131870,ENSG00000197459,p130820-p131870
p130820,p131870,ENSG00000256018,p130820-p131870
p130820,p131870,ENSG00000168242,p130820-p131870
p130820,p131870,ENSG00000158406,p130820-p131870
p130820,p131870,ENSG00000186470,p130820-p131870
p130820,p131870,ENSG00000215979,p130820-p131870
p130820,p131870,ENSG00000124508,p130820-p131870
p130820,p131870,ENSG00000026950,p130820-p131870
p130820,p131870,ENSG00000111801,p130820-p131870
p130820,p131870,ENSG00000112763,p130820-p131870
p130820,p131870,ENSG00000124557,p130820-p131870
p130820,p131870,ENSG00000228223,p130820-p131870
p130820,p131870,ENSG00000261353,p130820-p131870
p130820,p131870,ENSG00000182952,p130820-p131870
p130820,p131870,ENSG00000146109,p130820-p131870
p130820,p131870,ENSG00000181315,p130820-p131870
p130820,p131870,ENSG00000261584,p130820-p131870
