coefficient,hazard_ratio,pvalue,covar,disease,disease_field
1.5601339826193887,4.759458887189003,1.1793955412044603e-224,PC1,p130070,p130070
-1.19911290736371,0.3014615176246178,0.1910374612177936,PC2,p130070,p130070
1.8993406930129688,6.681487838170985,0.0409776593076596,PC3,p130070,p130070
2.2061727254483525,9.080894722222205,3.4855679063908646e-09,PC4,p130070,p130070
1.6737077366606647,5.331900475652135,0.0348151290657384,PC5,p130070,p130070
-3.021050686878536,0.0487499704896715,2.824948090076659e-24,PC6,p130070,p130070
3.268426118067526,26.26996097253092,9.817809406925606e-57,PC7,p130070,p130070
2.730136856301945,15.33498556571922,4.2190767376215614e-10,PC8,p130070,p130070
1.9040593475982917,6.713089972536511,0.0069580985510272,PC9,p130070,p130070
-3.084417179811349,0.0457566940554866,7.0256040648083675e-09,PC10,p130070,p130070
2.014898463356711,7.499965821186225,0.1532908686721406,PC11,p130070,p130070
-1.7787169406745602,0.1688546588849951,0.2659382096944628,PC12,p130070,p130070
2.399949530437984,11.0226200597964,0.0006874816761068937,PC13,p130070,p130070
-2.4432712477192373,0.0868761925741442,0.0487072624944815,PC14,p130070,p130070
-1.0154189344163576,0.36225063877953,0.7952589383509956,PC15,p130070,p130070
2.729745110971859,15.328979333270478,0.0014395663584926,PC16,p130070,p130070
0.9099683952572368,2.48424401825094,0.7733003889075357,PC17,p130070,p130070
2.763694356697614,15.858321157048184,0.0025340046068923,PC18,p130070,p130070
-0.7012341236840043,0.4959728341162737,0.8411656414894957,PC19,p130070,p130070
-2.171008060233514,0.1140625769889983,0.020023370341869,PC20,p130070,p130070
-3.3340715248986728,0.0356476688237275,1.5181989789904485e-11,PC21,p130070,p130070
-2.9914836318565685,0.0502128839985577,1.862721863173864e-06,PC22,p130070,p130070
1.0003381455463227,2.719201158777955,0.7674344465468581,PC23,p130070,p130070
2.3571992534919928,10.561330382054368,0.055534984247109,PC24,p130070,p130070
-1.0272238576236208,0.3579994397153365,0.7903807084661136,PC25,p130070,p130070
2.4727973812304294,11.855565043073687,0.155042356835563,PC26,p130070,p130070
-3.4264568908922284,0.0325018947647427,4.209722046321858e-07,PC27,p130070,p130070
3.1233798091742826,22.72304957674605,1.783781912078391e-09,PC28,p130070,p130070
2.4062593699234363,11.092390913036851,0.0285925195730065,PC29,p130070,p130070
1.8112219406697256,6.117918600190641,0.3525009036110771,PC30,p130070,p130070
-1.51980594020554,0.2187543342545668,0.5916613899911433,PC31,p130070,p130070
-0.7173153408204963,0.4880607755507261,0.8553461623724173,PC32,p130070,p130070
2.224713671146674,9.250833644069928,0.1490888728401828,PC33,p130070,p130070
1.5961516840994787,4.934008220012923,3.679013467709721e-88,PC1,p130340,p130340
2.457109157856434,11.671023638773324,0.0313330360101117,PC2,p130340,p130340
3.275263047170467,26.450182211137506,8.602408837503812e-14,PC3,p130340,p130340
-2.6332605213972946,0.0718438315873453,0.000409451911053216,PC4,p130340,p130340
-1.4739068981023566,0.2290289422363315,0.8037555628415382,PC5,p130340,p130340
-2.3726824280555867,0.0932303069712766,0.0595727097342,PC6,p130340,p130340
3.6370902695100913,37.98116084324363,1.834982003221156e-16,PC7,p130340,p130340
-1.65351942380839,0.1913751916039611,0.8092495477661149,PC8,p130340,p130340
-2.1377696610800703,0.11791754604678,0.0008401999911226277,PC9,p130340,p130340
3.260105407275874,26.05228309798562,6.566325040623049e-14,PC10,p130340,p130340
-0.0985201168428655,0.9061774630012788,0.9968408051641524,PC11,p130340,p130340
2.710484832600053,15.036563964296358,0.045615946179241,PC12,p130340,p130340
-2.427548309873443,0.088252936417161,0.498194053395267,PC13,p130340,p130340
-3.0388809864548936,0.0478884473438619,0.0423285818341562,PC14,p130340,p130340
3.517340336429104,33.694692636653855,0.1316608429880953,PC15,p130340,p130340
3.348799659927461,28.468541195785928,0.0210990980728419,PC16,p130340,p130340
-2.199574098733087,0.1108503596186823,0.6532861221284394,PC17,p130340,p130340
2.316133586370774,10.136406901182358,0.3917809291032278,PC18,p130340,p130340
3.7367462484123215,41.961236364756665,0.0045143787989968,PC19,p130340,p130340
-3.5953146220704046,0.0274520447980039,0.0018313142166579,PC20,p130340,p130340
-4.263308450387409,0.0140756566783767,0.0005937723321059024,PC21,p130340,p130340
-3.132696911223689,0.0436000530788231,8.436652405705825e-08,PC22,p130340,p130340
3.038493648772538,20.87377630236167,0.098850300498308,PC23,p130340,p130340
-2.353219529476088,0.095062612125005,0.6642992864305511,PC24,p130340,p130340
-1.865522704032388,0.1548152661680451,0.7618265433585611,PC25,p130340,p130340
-2.4983913093402235,0.082217154264765,0.5795322890455176,PC26,p130340,p130340
5.420585504282594,226.01141442057,4.7355755357136073e-11,PC27,p130340,p130340
-2.050349801781751,0.1286898797643216,0.8458252500057065,PC28,p130340,p130340
-4.239159175668932,0.0144197111912935,3.635477843781827e-12,PC29,p130340,p130340
4.452031375232229,85.80106124431033,0.00018289413003642763,PC30,p130340,p130340
1.2695774780715037,3.559348341869231,0.9432095449081676,PC31,p130340,p130340
-0.2210861087314435,0.8016476484560429,0.9941686621558428,PC32,p130340,p130340
-3.494535339743475,0.0303628535706497,4.054829730831837e-05,PC33,p130340,p130340
1.7236925720895528,5.605187857892298,4.8522059157773717e-219,PC1,p130708,p130708
1.2215293810218826,3.392371997605661,0.0005463520437821954,PC2,p130708,p130708
0.8276160470936917,2.287858087943403,0.2543821357172195,PC3,p130708,p130708
2.1975411523136668,9.002849625833344,1.3580676014655216e-11,PC4,p130708,p130708
-0.8525018414032572,0.4263469441007784,0.1713484694991799,PC5,p130708,p130708
1.8666956495243816,6.466892176995406,0.0003946915490378276,PC6,p130708,p130708
-1.3294910234587145,0.2646119082847006,0.0813645581412286,PC7,p130708,p130708
1.625578223067874,5.081356345343539,0.00042694737094699166,PC8,p130708,p130708
0.5912623897143375,1.8062671898663376,0.5148710990480322,PC9,p130708,p130708
-1.0911879467247414,0.3358173235676031,0.0146378446806089,PC10,p130708,p130708
1.305448580359198,3.6893436896851655,0.0542576672104672,PC11,p130708,p130708
-1.145293745244258,0.318130454755792,0.3099712135788849,PC12,p130708,p130708
1.497886605427558,4.472227494524553,0.0294666296658144,PC13,p130708,p130708
-0.2758472725388323,0.7589288311840211,0.836007453510672,PC14,p130708,p130708
-0.28332050158968,0.753278322266973,0.8377851199873425,PC15,p130708,p130708
2.037731712312644,7.67318445436268,5.819969030975658e-06,PC16,p130708,p130708
1.0768210046290216,2.9353332921317303,0.3345035348928913,PC17,p130708,p130708
0.8599609213376447,2.363068346351372,0.4595934544409214,PC18,p130708,p130708
-1.972830869972572,0.1390626302528133,0.0011669008539721,PC19,p130708,p130708
1.1463870612482974,3.1468031398010283,0.3152007371330989,PC20,p130708,p130708
1.5100484919433397,4.526950309609762,0.03890852371422,PC21,p130708,p130708
-2.373874126137627,0.0931192707672273,1.116746547656988e-05,PC22,p130708,p130708
0.9995912892772096,2.717171064534213,0.4070558394030368,PC23,p130708,p130708
2.651777697899086,14.179222628263783,1.2803198036778381e-19,PC24,p130708,p130708
-0.7738262228330698,0.4612448620700011,0.6244144257872526,PC25,p130708,p130708
-0.9829499294249682,0.3742055889871062,0.5064644769892395,PC26,p130708,p130708
0.1647270175269843,1.1790712090010405,0.9185150538257671,PC27,p130708,p130708
-1.452902180853206,0.2338905095921649,0.2081503534166725,PC28,p130708,p130708
-1.162072857674728,0.3128370416656773,0.2346486266928568,PC29,p130708,p130708
1.3200144727558307,3.743475555276479,0.2836640790469412,PC30,p130708,p130708
-0.1684668095434943,0.8449593075386812,0.9248983986350732,PC31,p130708,p130708
-1.411630920343655,0.2437454294282301,0.3507145305190625,PC32,p130708,p130708
1.2317338431674387,3.4271665571896417,0.2934611725632853,PC33,p130708,p130708
1.654956531844901,5.232852454792195,1.572248198598203e-39,PC1,p130718,p130718
1.9177564319381548,6.805672338866899,0.0221438007184001,PC2,p130718,p130718
3.153075943525629,23.407955507236203,1.1845218941410192e-05,PC3,p130718,p130718
-3.531876448319151,0.0292499782668228,2.5736264999911547e-06,PC4,p130718,p130718
-2.483217476746824,0.0834742167081321,0.429868923265376,PC5,p130718,p130718
2.512226839937796,12.33236170180243,0.0035368186985268,PC6,p130718,p130718
2.977374954166778,19.6362029974473,1.6162852371373418e-10,PC7,p130718,p130718
4.049115508044938,57.34671190159251,6.943717960466751e-24,PC8,p130718,p130718
-1.7552611378558218,0.1728620955602251,0.7617584237797527,PC9,p130718,p130718
-2.826357458397242,0.0592282024143115,3.2510557848013235e-09,PC10,p130718,p130718
-2.778750667031553,0.0621160625659775,9.274302106317633e-05,PC11,p130718,p130718
-3.7982516338155694,0.0224099183684457,0.0016628504761205,PC12,p130718,p130718
-2.806844893078876,0.0603952455572695,0.1500934752382265,PC13,p130718,p130718
2.921084241404359,18.56140159361875,0.0007101024109804493,PC14,p130718,p130718
-0.9032250320332534,0.4052605716243749,0.9634508719043148,PC15,p130718,p130718
4.726426213249165,112.8913908106252,2.7088834054120143e-08,PC16,p130718,p130718
-3.913393305033847,0.0199726127765222,6.423220182436479e-05,PC17,p130718,p130718
3.0533358378628384,21.18589940251212,0.2197441486870662,PC18,p130718,p130718
-2.642062423681672,0.0712142440506567,1.4368227342575351e-08,PC19,p130718,p130718
-2.0137377341246525,0.1334887954170172,0.7861192747040997,PC20,p130718,p130718
-4.183536059385597,0.0152445066669205,0.0001964729284364497,PC21,p130718,p130718
-3.4063426953468525,0.0331622633589292,0.0311438524468946,PC22,p130718,p130718
4.2388768206897725,69.32993813932103,0.0007247045318469452,PC23,p130718,p130718
-3.3227438351171594,0.0360537703109777,0.1188401301428203,PC24,p130718,p130718
2.6294359677555432,13.865946854985747,0.5631364829814938,PC25,p130718,p130718
-2.7538539851989907,0.0636819583332015,0.1410951630607312,PC26,p130718,p130718
-2.67436021768969,0.0689509278700569,0.7022931104527184,PC27,p130718,p130718
-4.409712348861422,0.0121586752837284,2.628741569685459e-07,PC28,p130718,p130718
3.9069052211933855,49.744764465547,0.045549978267326,PC29,p130718,p130718
2.9938423422267006,19.962237069367266,0.0132748922627899,PC30,p130718,p130718
-3.4950578579334874,0.0303469925715495,0.0087644354740031,PC31,p130718,p130718
-3.472916471513537,0.0310264109367071,0.4242551656857775,PC32,p130718,p130718
3.758008782737234,42.86299141915906,0.1197999067778749,PC33,p130718,p130718
1.6027429091676524,4.966636791682116,7.942920398952097e-29,PC1,p130722,p130722
3.174798551613519,23.92200033457898,3.206924277370341e-09,PC2,p130722,p130722
3.710908202820725,40.890926923188175,1.5550861786951388e-06,PC3,p130722,p130722
3.577667942499958,35.78997916027729,2.3322095450996976e-17,PC4,p130722,p130722
-4.277524332918352,0.0138769743646934,0.00027310729362636294,PC5,p130722,p130722
3.5966110978743315,36.47441653107022,0.0226239676941061,PC6,p130722,p130722
-2.070839862654043,0.1260798474708439,0.1229340314938782,PC7,p130722,p130722
-4.788155947659699,0.0083278001304798,0.0343527632651259,PC8,p130722,p130722
3.9807942527768176,53.55955716527868,1.3427356555884338e-11,PC9,p130722,p130722
-2.518006343088448,0.0806201756070516,0.0963186353305315,PC10,p130722,p130722
