coefficient,pvalue,var_explained,covar,disease_field
1799.7276016513629,0.1925658189588981,-1,PC1,p130070
7.450397470540761,5.718886232804048e-19,-1,PC2,p130070
4.872982115621704,3.2381244654888504e-07,-1,PC3,p130070
-2.90461961728746,1.6149165408909182e-05,-1,PC4,p130070
9.6987264117769,2.074548149391868e-18,-1,PC5,p130070
-6.163041106144359,1.7350529850201075e-08,-1,PC6,p130070
-9.606418024910422,1.3494325472739672e-17,-1,PC7,p130070
-4.540705129746144,7.295107113643887e-06,-1,PC8,p130070
-3.543450844762419,0.0039016888618117,-1,PC9,p130070
5.308929182179315,4.432982179590933e-10,-1,PC10,p130070
10.589286939022644,7.835125791322857e-21,-1,PC11,p130070
4.99632515629472,0.0017093206078342,-1,PC12,p130070
-4.171736670943724,0.0063789596907721,-1,PC13,p130070
-8.931016177732092,8.87342540699013e-14,-1,PC14,p130070
-3.168581822868837,0.0093834767884546,-1,PC15,p130070
7.037985970760343,3.664362552026173e-07,-1,PC16,p130070
7.510138565394159,4.281532235245526e-05,-1,PC17,p130070
8.701494029675606,9.791698901819535e-14,-1,PC18,p130070
3.7182965647799953,0.110333015187852,-1,PC19,p130070
3.789335617601836,0.0020507628266924,-1,PC20,p130070
7.318704794023269,1.4614578746594582e-09,-1,PC21,p130070
-9.461772617864035,5.289336922449824e-09,-1,PC22,p130070
7.065488866448749,6.78169306939599e-07,-1,PC23,p130070
11.522600230480544,1.6646132571652025e-13,-1,PC24,p130070
8.455427799563653,1.7556133059605564e-10,-1,PC25,p130070
-11.590041723302264,4.443379661873991e-13,-1,PC26,p130070
265.3442331486208,0.5012027838134689,-1,PC1,p130340
3.889382279774848,0.00013886004518280035,-1,PC2,p130340
4.823453756269276,0.00013229682795576434,-1,PC3,p130340
15.019510661271942,2.1540962292629068e-06,-1,PC4,p130340
8.171626706985226,7.93880432178806e-10,-1,PC5,p130340
-4.882730766253118,0.0002613553534275637,-1,PC6,p130340
-9.008888904935494,3.649211735873035e-07,-1,PC7,p130340
10.522344613694385,3.0850382678342564e-05,-1,PC8,p130340
4.71534954057108,0.0850799268850178,-1,PC9,p130340
11.175482519399251,7.500657416390764e-05,-1,PC10,p130340
3179250377856901.0,0.0,-1,PC11,p130340
7.751049372726959,0.000741473218813705,-1,PC12,p130340
-8.450803339429852,0.3622371072652522,-1,PC13,p130340
9.471060075997872e-12,0.999999999999812,-1,PC14,p130340
3.578839850988052e-12,0.999999999999929,-1,PC15,p130340
7797223356705250.0,0.0,-1,PC16,p130340
29.295606389450285,5.189955823888419e-05,-1,PC17,p130340
23.844918132605574,0.0001306440787236549,-1,PC18,p130340
-1.7061833988626694e+16,6.531779199531531e-12,-1,PC19,p130340
-2.040746538143828e+16,8.864677107449918e-09,-1,PC20,p130340
-2.884717796196746e+16,0.002037878127861,-1,PC21,p130340
-1.7330494248274794e+16,7.235201112190007e-06,-1,PC22,p130340
-2.5038903929182096e+16,4.4635518552112046e-06,-1,PC23,p130340
-3.477227048506112e+16,2.5960149433972192e-08,-1,PC24,p130340
2.270156442379022e+16,0.0001009862621346934,-1,PC25,p130340
-4.333345617796282e+16,2.760043055279609e-08,-1,PC26,p130340
23419.64466157622,0.9377844146413707,-1,PC1,p130708
3.649209548218142,2.225414665585093e-36,-1,PC2,p130708
-2.901438474441721,5.874696309456496e-30,-1,PC3,p130708
3.1108136963775044,7.019047691107621e-24,-1,PC4,p130708
-0.9038829172986942,0.1089224494195877,-1,PC5,p130708
1.103335077112855,0.0259085160336931,-1,PC6,p130708
1.220396432040088,0.0179787930889719,-1,PC7,p130708
2.444751833161786,3.019083015758948e-12,-1,PC8,p130708
-1.2211994532800767,0.127715764205026,-1,PC9,p130708
-0.98423019012265,0.1507805894766528,-1,PC10,p130708
-3.0138353299846457,7.32503348342914e-13,-1,PC11,p130708
-1.5258165858530948,0.0361248677576392,-1,PC12,p130708
3.031338306707596,1.104768131787927e-07,-1,PC13,p130708
-4.306483568722717,1.3279129536175032e-21,-1,PC14,p130708
0.0479181671515547,0.9570514980195178,-1,PC15,p130708
-1.8458685766330825,0.0232105117018175,-1,PC16,p130708
4.125523827365698,2.225502614870673e-17,-1,PC17,p130708
