coefficient,pvalue,var_explained,covar,disease_field
0.0332559572732677,0.0073741569504526,-1,age,p130070
0.063667239460045,0.732488389494253,-1,sex,p130070
21.62001616556689,0.9997829038217236,-1,date_centre,p130070
14.625725641310204,0.9688962570315278,-1,centre,p130070
20.270230112575835,0.998449924038484,-1,plate,p130070
1.604215968452957,0.1439424234332432,-1,well,p130070
0.6511504171838142,0.0807021601653916,-1,plate_row,p130070
-1.030608700024399,0.0481791500814407,-1,plate_column,p130070
-1.4495892114922138,0.3062031679920014,-1,mean_date_processing,p130070
-0.0005054561349727418,0.102934985172266,-1,storage_time,p130070
0.209306809469529,0.6988017851100877,-1,batch,p130070
-0.0291188854101081,0.2691127722102375,-1,age,p130340
-2.085207541116135,0.0050314169164608,-1,sex,p130340
23.16806514728226,0.9999144157539374,-1,date_centre,p130340
17.36962439390341,0.9949996083478334,-1,centre,p130340
22.08482630776233,0.9993787106767184,-1,plate,p130340
19.74847872808369,0.997646220889238,-1,well,p130340
1.0847248111500971,0.1841641255028984,-1,plate_row,p130340
1.3833420873666042,0.2160966583286052,-1,plate_column,p130340
19.82113645501081,0.9983939901876032,-1,mean_date_processing,p130340
0.00013317140357388076,0.8542785375423936,-1,storage_time,p130340
-1.342116759051777,0.1214198450449757,-1,batch,p130340
0.0711034845454542,2.8220524467268835e-41,-1,age,p130708
0.7368106651334394,1.4941515576917246e-23,-1,sex,p130708
41.13212617490249,0.9986911543915472,-1,date_centre,p130708
1.5507219684698517,4.1438735646842696e-05,-1,centre,p130708
1.7572732931569188,0.108848768472141,-1,plate,p130708
0.8975206291921675,0.0359262937293221,-1,well,p130708
-0.3025412152599722,0.0392609335645233,-1,plate_row,p130708
0.1405685105179761,0.3815973453834909,-1,plate_column,p130708
2.5235214859157877,0.0173337380545089,-1,mean_date_processing,p130708
8.05725915984693e-05,0.4942596404279908,-1,storage_time,p130708
0.4793438445014591,0.0402776635584305,-1,batch,p130708
0.0145025093365762,0.4569557269881565,-1,age,p130718
0.2137820699469057,0.4837333910808796,-1,sex,p130718
22.000962068858573,0.9998660055248648,-1,date_centre,p130718
0.8830491624536667,0.400137290527032,-1,centre,p130718
21.100331006159653,0.9990213295690804,-1,plate,p130718
