coefficient,hazard_ratio,pvalue,covar,disease
0.06649566831023748,1.0687563345442737,4.862796993384787e-51,age,p130070
0.4921430745650034,1.6358181464328942,5.963726622849457e-16,sex,p130070
-8.16130664808651e-5,0.9999183902637748,0.5100137321573042,date_centre,p130070
0.011833087460837333,1.0119033754078062,0.033998141064619514,centre,p130070
5.350859542049731e-4,1.0005352291382317,0.006982985360905481,plate,p130070
-0.0010991590071481355,0.9989014448468493,0.3488158200299552,well,p130070
-0.011893193648164416,0.9881772508328958,0.36100003556450605,plate_row,p130070
-0.0023398915019400583,0.9976628439102418,0.8050971453601083,plate_column,p130070
0.0018611315991876938,1.001862864579537,0.03886863371536458,mean_date_processing,p130070
8.79544649660884e-5,1.0000879583330735,0.37150558586428467,storage_time,p130070
0.05087126408940954,1.052187430256967,0.017033931771764925,batch,p130070
0.034215413538907176,1.0348074942651868,1.987183144681016e-5,age,p130340
0.3326147745866436,1.3946099557807323,0.0037948115804285324,sex,p130340
1.1339397558356337e-4,1.0001134004049235,0.6260491936584871,date_centre,p130340
0.021911946849721132,1.022153776647657,0.04566615980843474,centre,p130340
2.8446599400191474e-5,1.0000284470040086,0.93954339105448,plate,p130340
9.526229056512015e-4,1.0009530767949684,0.681728646538316,well,p130340
0.006375169956941289,1.0063955346059634,0.8020111204296452,plate_row,p130340
0.02486835083538014,1.0251801475300757,0.17395820840806467,plate_column,p130340
-3.555782829888461e-6,0.9999964442234919,0.9983715929855962,mean_date_processing,p130340
-9.47425667802832e-5,0.9999052619211549,0.6060110571713653,storage_time,p130340
-0.011704753979458176,0.9883634801726122,0.7777310893804319,batch,p130340
0.04697117844508554,1.0480918010089377,1.309519315963243e-54,age,p130708
0.5961380384852354,1.8150954184527734,1.8442249959478768e-40,sex,p130708
-3.576775528767712e-4,0.9996423864061134,8.620123020831038e-5,date_centre,p130708
0.003133088655726006,1.0031380019078666,0.4392317491132972,centre,p130708
-6.863237179706131e-5,0.9999313699833503,0.630526616952257,plate,p130708
7.768533175746999e-5,1.000077688349341,0.9283632707444508,well,p130708
7.083392641540706e-4,1.0007085901956554,0.9411145484110833,plate_row,p130708
9.315750129341916e-4,1.0009320090637097,0.891336241057953,plate_column,p130708
-1.1001326815320777e-4,0.9998899927830844,0.8647950222832501,mean_date_processing,p130708
2.784421983357111e-4,1.0002784809669627,1.1037639303296856e-4,storage_time,p130708
-0.009491750438248087,0.9905531540386072,0.5396989790745831,batch,p130708
0.07875731520839672,1.081941719406066,2.3518527218949572e-14,age,p130718
0.5030652976570774,1.6537828458022963,3.53536214371695e-5,sex,p130718
-4.760972991650172e-5,0.9999523914034087,0.8483663460089378,date_centre,p130718
0.01563409047165737,1.0157569422544108,0.13915338038229919,centre,p130718
4.476018749441221e-4,1.0004477020636111,0.25407510587445964,plate,p130718
-0.0017037114589123726,0.9982977390335981,0.47697700450233227,well,p130718
-0.02061729253000119,0.9795937907017703,0.4444869355521508,plate_row,p130718
0.009003926322995319,1.009044583601042,0.6338243546118077,plate_column,p130718
0.0015744508044859265,1.001575690902893,0.38049853229001307,mean_date_processing,p130718
5.798854822509658e-5,1.0000579902295934,0.7693460842605262,storage_time,p130718
0.04091154873786901,1.0417599564872007,0.33203615347619336,batch,p130718
0.036594899188587666,1.037272735688094,2.790920925074993e-4,age,p130722
-0.5473315913924122,0.5784914041069058,0.0016974930473994568,sex,p130722
-5.34204689274248e-4,0.999465937972646,0.12026553730029045,date_centre,p130722
0.022463766186319734,1.0227179765204715,0.16575732633886334,centre,p130722
3.610436574119417e-5,1.0000361050175117,0.9445407930248001,plate,p130722
-2.5811939046434e-4,0.9997419139194795,0.9359866625912322,well,p130722
-0.0027801078720851185,0.9972237530490505,0.9374806914796493,plate_row,p130722
-6.23131710314779e-4,0.9993770623959294,0.9806927161374094,plate_column,p130722
1.991446848473516e-4,1.0001991645154664,0.9326674713862618,mean_date_processing,p130722
4.244954694407768e-4,1.0004245855803926,0.11665592372706547,storage_time,p130722
-0.0031329507322660835,0.9968719518367072,0.9549667778475786,batch,p130722
0.05875714306409424,1.060517655394968,2.475915136538364e-11,age,p130770
-0.024308986776967422,0.9759840969826312,0.8273197554113934,sex,p130770
-0.0010274712359889463,0.9989730564318448,2.825041866430058e-5,date_centre,p130770
-0.019686484521649433,0.9805060289405524,0.04732473786171891,centre,p130770
3.3527742407080134e-5,1.0000335283044681,0.922798454265961,plate,p130770
-3.871826595468194e-4,0.9996128922859863,0.8581656304819071,well,p130770
-0.0030305305631651825,0.9969740568593038,0.900344350796525,plate_row,p130770
-0.007551295172900486,0.9924771442267029,0.6670995986626693,plate_column,p130770
8.059352354379361e-4,1.0008062600885042,0.6134494572511359,mean_date_processing,p130770
8.140847741004646e-4,1.0008144162310488,2.0645572255532748e-5,storage_time,p130770
0.010552980043971549,1.0106088591285147,0.7829637662531291,batch,p130770
0.05228960050332697,1.0536808448353496,2.965533548797532e-13,age,p130774
-0.4530010878173416,0.6357174420815803,7.745681411883947e-6,sex,p130774
5.132763069949619e-4,1.000513408055819,0.011650700098661322,date_centre,p130774
0.005905330924160623,1.005922801764256,0.5300022455064127,centre,p130774
4.337223842695648e-4,1.0004338164554227,0.16311383789112405,plate,p130774
0.0020254327177642497,1.0020274852921611,0.28463786594020535,well,p130774
0.025484057700886478,1.0258115523454836,0.2237855399372096,plate_row,p130774
-0.016359724180404513,0.983773369327799,0.27965359862750333,plate_column,p130774
0.001872114718040341,1.00187386821888,0.1924833970449827,mean_date_processing,p130774
-3.7196900956782124e-4,0.9996281001623274,0.0214182754102715,storage_time,p130774
0.04398652115585285,1.044968269829071,0.18083592839784113,batch,p130774
0.06519713032116863,1.067369414521864,5.06337044107506e-30,age,p130820
0.23415638846607698,1.2638421270850857,0.0021761890738989003,sex,p130820
-2.104848165893487e-5,0.9999789517398588,0.8954466234788145,date_centre,p130820
-0.007914335408261922,0.9921169004861148,0.2506632092406646,centre,p130820
-3.040204809228661e-4,0.9996960257286206,0.216490671941067,plate,p130820
-7.874516873092624e-4,0.9992128582714062,0.5930160633536807,well,p130820
-0.009326649556403778,0.9907167087389938,0.5673410957815501,plate_row,p130820
0.0030020693177317277,1.0030065800405306,0.8040286626895501,plate_column,p130820
-0.0015875435326171306,0.9984137159480352,0.15044923844696556,mean_date_processing,p130820
-9.747197191396172e-6,0.9999902528503124,0.9384345844508705,storage_time,p130820
-0.03535492589311499,0.9652627587054206,0.17881779726071073,batch,p130820
0.0951780325456811,1.0998546476196627,4.719096262633008e-62,age,p130826
0.25413218757206696,1.2893422280222906,2.0370610065356966e-4,sex,p130826
1.5569346946043452e-4,1.0001557055903176,0.26501570057014356,date_centre,p130826
0.00541112277407879,1.005425789341182,0.39285645034284106,centre,p130826
2.8649251633664825e-4,1.000286533559237,0.197717377839466,plate,p130826
