coefficient,pvalue,var_explained,covar,protein_field
0.0033021026161206,1.7732292545834928e-148,0.0198551100275047,age,a1bg
-0.1042064686403662,0.0,0.0759666637451596,sex,a1bg
-0.3135333333334659,0.1492442146928592,0.0296712896822223,date_centre,a1bg
0.0582422660240841,4.195618985886253e-13,0.0037218894579599,centre,a1bg
-0.1072595864661678,0.0025263111451592,0.0121299481683208,plate,a1bg
0.1106849604221634,2.394692799165277e-16,0.0307204572015892,well,a1bg
0.0511811525569325,6.496727944966795e-36,0.0101176377498273,plate_row,a1bg
-0.0467785376226698,2.831590631589459e-22,0.0050464825554186,plate_column,a1bg
0.0219002858999352,0.0796371631760737,0.0016110198329077,date_processing,a1bg
-8.441829077409398e-06,0.0136164793255623,0.00018125540643736584,storage_time,a1bg
-0.003008577287578,0.605764259129222,7.617294300009301e-05,batch,a1bg
0.0016869303493313,7.396122071033477e-06,0.0006136433528828574,age,aamdc
0.0369424861949479,1.1794442816512767e-09,0.0011300710743353,sex,aamdc
1.2608999999984851,0.0241798262186223,0.1135697579255493,date_centre,aamdc
-0.1384463091470349,1.1131355402059964e-09,0.0205064418990946,centre,aamdc
-0.23689465225016,0.0194916769312449,0.0130681883487491,plate,aamdc
-0.2037291551882463,4.6601915743069254e-07,0.0056107905289248,well,aamdc
-0.0980268874189842,6.331369621175479e-16,0.0023551617221267,plate_row,aamdc
0.0363621250365096,0.010516376072603,0.0006234076343272066,plate_column,aamdc
0.0838261891677112,0.0381538496547895,0.0022550829375194,date_processing,aamdc
-0.0001964464123184145,4.266967199542861e-85,0.0116090713046612,storage_time,aamdc
0.0338461745590471,0.0479471728705537,0.0001274730901043023,batch,aamdc
0.0075544823592358,8.843955444932894e-69,0.0091962086004851,age,aarsd1
0.178824382065189,8.403959669920687e-147,0.0198218754697609,sex,aarsd1
1.44991874999949,0.0171150916952143,0.1559430564159955,date_centre,aarsd1
0.4138334478362712,2.1812867549007623e-54,0.0735064031137044,centre,aarsd1
0.3635073275862223,0.0015569737620072,0.0132954279469918,plate,aarsd1
-0.3168018751816335,8.300121921167118e-12,0.0077282909975536,well,aarsd1
-0.0452370630421855,0.001140045654967,0.0005494906471707118,plate_row,aarsd1
-0.1244668519289721,2.103310534976273e-14,0.0029029643193481,plate_column,aarsd1
0.1908903713141655,0.0286750299761084,0.0019880085803587,date_processing,aarsd1
-0.0004298594980702613,1.17682514e-315,0.0424549166699411,storage_time,aarsd1
0.0355481696578168,0.0801504607251039,0.00011453729049391516,batch,aarsd1
0.0058736021982921,2.2169197867745622e-117,0.0161484349163598,age,abca2
0.0271389354962321,5.028859548549347e-11,0.0013238612833534,sex,abca2
-0.8778857142864999,0.0270134828219567,0.030720749225655,date_centre,abca2
0.0753153210755512,0.0455823212331317,0.001741473968466,centre,abca2
0.19452095238095,0.0049427924414,0.0118893880368072,plate,abca2
-0.1416599469496024,1.3151664899373764e-07,0.0192345574404572,well,abca2
-0.1220154352590157,3.550085182704992e-50,0.0092428252917797,plate_row,abca2
0.0349783145822284,0.00034592525986070025,0.002194284803843,plate_column,abca2
0.2043725268817207,7.765058239387517e-05,0.0020256721844264,date_processing,abca2
1.217737502656822e-05,0.0753050459654193,9.707901927878672e-05,storage_time,abca2
0.0256750048754982,0.0287006422821526,0.00033144030170063134,batch,abca2
0.0043232878718022,1.5743535164036428e-23,0.0030177893086971,age,abhd14b
0.0787661720842273,1.2809749401854152e-29,0.0038557211784255,sex,abhd14b
1.3196153846157834,0.0281416715676598,0.1541877527060601,date_centre,abhd14b
-0.1647992475128108,3.0041460078836402e-09,0.0247851374488116,centre,abhd14b
-0.2956158045977077,0.0166086453632513,0.014647588201883,plate,abhd14b
-0.3568177111716623,1.4720170986153633e-14,0.0144410792845474,well,abhd14b
-0.1612430836037268,3.458887561751362e-31,0.0053172700812082,plate_row,abhd14b
-0.0815292946250109,5.903648627730147e-07,0.0016680766540845,plate_column,abhd14b
-0.1128672919672903,0.0609142764151462,0.0026745695752355,date_processing,abhd14b
-0.00026658281109887466,1.3056106180665596e-120,0.0163571744490721,storage_time,abhd14b
0.035446918905384,0.0703592623232105,0.0003038283374565102,batch,abhd14b
0.0036351839188153,3.2935035345314306e-12,0.0014576413761076,age,abl1
0.0421133863273657,5.634904045753115e-07,0.0007525409294697176,sex,abl1
-1.5129199999999008,0.0404271073867101,0.1775297720960137,date_centre,abl1
-0.4518976628550571,2.2592089183164748e-41,0.0460715998934413,centre,abl1
-0.4143388384754643,0.0037130863634932,0.0141604113472637,plate,abl1
0.2288873968705555,3.871914398158804e-05,0.0114596055465891,well,abl1
0.1050844527737581,3.9876057228294077e-10,0.0065916006091547,plate_row,abl1
0.0951319693462962,1.3530999631931364e-06,0.0014892919017079,plate_column,abl1
0.1553454524253757,0.152416271267561,0.0024189013252518,date_processing,abl1
-0.0004493704714796342,2.16403605721971e-235,0.031760148182094,storage_time,abl1
0.0254147395665928,0.2839045115910245,0.00016374336741821,batch,abl1
0.0004095030970556436,0.6858043313694571,4.87699660716598e-06,age,abo
0.0058119088541889,0.72177516812099,3.778415138372033e-06,sex,abo
-2.718045454548332,0.0761544908064422,0.0576315763301226,date_centre,abo
-0.2040896497535303,0.0021020524866594,0.0020042063352146,centre,abo
1.845115073891633,1.5225294498243933e-14,0.1901930324508992,plate,abo
-0.2915104926816416,0.0066171724339327,0.0035457484632971,well,abo
-0.1961146799190312,1.5669684957750284e-09,0.0015040060713969,plate_row,abo
-0.0611292768844126,0.1121214001307659,0.0002318471772783941,plate_column,abo
-1.0003576925052635,1.1147706078923404e-23,0.0270451402366648,date_processing,abo
-6.806237497285175e-05,0.0119238081858003,0.00018837456089379817,storage_time,abo
-0.1818313060586371,7.945631061108109e-05,0.0018929655665031,batch,abo
-0.000654603374735113,0.1629314025180603,5.97446114103047e-05,age,abraxas2
0.0923470624145596,2.703196233635984e-34,0.0045658739361385,sex,abraxas2
-1.5497166666664934,0.0166357395737331,0.1468966742511907,date_centre,abraxas2
-0.1909330805185649,1.7794626748150874e-11,0.0231154104205522,centre,abraxas2
0.3159731060605958,0.0107576831261804,0.0135078445520878,plate,abraxas2
-0.3937096995443827,9.410869580362332e-16,0.0246120944641853,well,abraxas2
-0.3146726039068687,4.496195846277182e-98,0.0175479562049375,plate_row,abraxas2
-0.1515017597599819,2.5079831898015817e-17,0.0036966041355199,plate_column,abraxas2
-0.0989837443047215,0.0186541250969033,0.0024119453198473,date_processing,abraxas2
-0.0002716506235343327,1.013830203394262e-104,0.0143899840691158,storage_time,abraxas2
0.0249959679628127,0.2620434498611024,0.0003705158361641395,batch,abraxas2
0.0036753565018089,7.077716678519442e-09,0.0010270315271615,age,acaa1
0.1660191094052477,2.689997175467388e-59,0.008052521285414,sex,acaa1
4.571900000001033,0.0003700151301206219,0.0586012824857262,date_centre,acaa1
-0.2769559780295826,5.7058819724886945e-11,0.0054616151218638,centre,acaa1
0.4387206088993267,0.0103128349825593,0.0115811292219832,plate,acaa1
0.4246739967435388,2.1030196873336446e-10,0.0111901696352067,well,acaa1
0.132924198438182,5.6573915005919165e-11,0.004481507366314,plate_row,acaa1
0.1384615998296941,8.906136233542241e-09,0.0026037285214102,plate_column,acaa1
-0.2000668247944215,0.177949504442952,0.0020752246991592,date_processing,acaa1
-0.00011278344163949816,1.9977937781900213e-11,0.0013779734453221,storage_time,acaa1
-0.0267069822276372,0.3541050557259848,0.0001530247155774627,batch,acaa1
-0.0011548114029907,0.0190762572111808,0.0001660964437593704,age,acadm
-0.0326334995850553,3.975689539439015e-05,0.0005102759298919684,sex,acadm
-2.515152631579197,0.0006445415457151261,0.0328079051459515,date_centre,acadm
-0.1213470286876531,0.00024062653169232715,0.0012724878290536,centre,acadm
-0.3107513662979866,0.0233880993410602,0.0120579144015365,plate,acadm
-0.2168887260310328,3.129125435144839e-05,0.0123434302548913,well,acadm
-0.1586812213167795,8.332641590577798e-24,0.0091376366520009,plate_row,acadm
-0.0499832521929822,0.0069632063967204,0.000764556069968515,plate_column,acadm
0.0885768473773267,0.0426771262194735,0.0014092344706873,date_processing,acadm
-4.942978391631755e-05,0.00017447315214570169,0.00042581166904464527,storage_time,acadm
0.0321383474973243,0.1519803426890299,0.0002400943461891964,batch,acadm
0.0023220353096079,0.0001925915218405387,0.00041383120557049566,age,acadsb
0.032332961894874,0.0012887107334488,0.00030836880750056105,sex,acadsb
1.9573250000004356,0.0482021970872292,0.0936386947342325,date_centre,acadsb
-0.2062968702823705,3.135425607556302e-07,0.0097025151080514,centre,acadsb
-0.3525899378179651,0.0365438153032744,0.0114584316953945,plate,acadsb
0.5622392079207924,1.895993645440825e-18,0.0459469323640479,well,acadsb
0.2906636227973449,2.941934896263909e-49,0.0369589492370577,plate_row,acadsb
0.2120547432669646,1.579345065276838e-19,0.005909852611,plate_column,acadsb
0.1034668182243864,0.0680357711704709,0.0020916254843557,date_processing,acadsb
-0.00019299466549671263,4.3478388041493845e-31,0.0039951988022726,storage_time,acadsb
0.0215809113649343,0.462600162165428,0.0001126422077239442,batch,acadsb
0.0109955195964048,0.0,0.0712198112433936,age,acan
0.1061668570046729,2.76866085466336e-187,0.025515020165586,sex,acan
1.1114799999995666,0.0021329364639334,0.0336142928746786,date_centre,acan
0.0683203436575078,5.670620361807375e-07,0.0027276431445327,centre,acan
0.2082391304347798,0.0014854978481391,0.0114650170604129,plate,acan
-0.116031944444445,1.0928407476435655e-06,0.0089756854290831,well,acan
-0.0172140621098079,0.0182223068087414,0.0008080542403444754,plate_row,acan
-0.0396706426400115,3.180843472870151e-06,0.0036205245774423,plate_column,acan
0.119789304379167,0.0141166432493227,0.0023737577199099,date_processing,acan
-2.3545422426237496e-05,9.123675593876543e-05,0.00046437062153708566,storage_time,acan
0.0107771241221401,0.2943384461631672,0.00010284693994012108,batch,acan
0.0022806439136901,7.492060147969435e-35,0.0045092840634115,age,ace
0.0240859777339446,7.567111599879812e-16,0.0019344397234019,sex,ace
0.3860000000004509,0.2468413249179703,0.0336735560208439,date_centre,ace
-0.0939525597553267,0.0405232561305794,0.0008466662771149225,centre,ace
-0.2018020350480486,5.453234185057943e-05,0.0175220747141674,plate,ace
-0.6303514765953283,0.0,0.3902685294807069,well,ace
-0.2349780145479066,0.0,0.3740520823114822,plate_row,ace
-0.0562334400667142,7.416938551948884e-16,0.0092258178013349,plate_column,ace
-0.0634271768112318,0.0041694541824521,0.0026098822195048,date_processing,ace
-1.805890052170552e-07,0.9709451972100842,3.9531675650627333e-08,storage_time,ace
0.0228223295538164,0.0068941974293398,0.0005144575540287505,batch,ace
0.0128709673232983,4.993999343995637e-194,0.0266816858347152,age,ace2
0.4699756787027486,0.0,0.1367666868456199,sex,ace2
2.9986500000007448,0.0007914638978592571,0.0337585845201965,date_centre,ace2
0.1439975028126692,3.319613281770001e-07,0.0051659024092752,centre,ace2
-0.289020780399269,0.0145632304738033,0.0131550871034603,plate,ace2
0.1853139148527091,5.626584737617197e-05,0.0066917904598169,well,ace2
0.0146035992421744,0.2952667078338153,0.0002094357764930292,plate_row,ace2
-0.0599868218173262,0.0002969666346213338,0.0010293476253087,plate_column,ace2
-0.140552487609611,0.1365536701604774,0.0019176048614965,date_processing,ace2
6.774615314035666e-05,4.5730742081837605e-09,0.0010519638366893,storage_time,ace2
-0.0360514220570165,0.0606310652400729,0.00012960375802196646,batch,ace2
0.0024125208712141,2.6720704914666336e-23,0.0030123063709299,age,ache
0.1955543448810408,0.0,0.0760921621561211,sex,ache
0.6914980769228991,0.0505185206350493,0.0456177184307428,date_centre,ache
0.1005424435005773,7.120999867663394e-11,0.0093593644411922,centre,ache
-0.1472771339739879,0.0233292345975007,0.0117093370901348,plate,ache
-0.1154995522546047,6.7287850945365846e-06,0.0103569389233628,well,ache
0.0116931260650789,0.1389832827813885,0.0002099494416633206,plate_row,ache
-0.0392353778779589,1.820823021393213e-05,0.00273219010898,plate_column,ache
0.0800296464330414,0.0236062719738568,0.0019759329435485,date_processing,ache
-7.059142720386994e-05,1.3153924135737496e-27,0.0036101036207091,storage_time,ache
-0.0173186965684702,0.1175245788339513,0.00011040604795628544,batch,ache
-0.0016891890337658,0.0335392682319536,0.00013479937606610985,age,acot13
0.0157802437085545,0.2184073242825504,4.519747929126498e-05,sex,acot13
-3.059399999998785,0.0511175001384974,0.126535499617278,date_centre,acot13
-0.2977402894373266,7.808449694361939e-10,0.0126891883363489,centre,acot13
0.483860668103423,0.022685522947534,0.0132213764104351,plate,acot13
0.5541244983552619,3.4849267200134674e-11,0.0263469479747274,well,acot13
0.3841622699498765,8.371790378132538e-52,0.0230124962810578,plate_row,acot13
-0.0697074552352881,0.0207454037479177,0.0007164376066770976,plate_column,acot13
-0.2179993943863852,0.0215547855314569,0.0021357331643791,date_processing,acot13
-0.00019440781244819155,5.828895823606564e-20,0.0024935958050792,storage_time,acot13
-0.026024119312848,0.4870172251739805,0.00011959513225493516,batch,acot13
0.0005000576692620924,0.1779395781864701,5.461274367939406e-05,age,acox1
0.0036891179429555,0.537832993660456,1.1422986088819355e-05,sex,acox1
1.5603999999997002,0.0057594079465026,0.067997710887248,date_centre,acox1
-0.1228851713104448,6.79368530420116e-07,0.0055702265377178,centre,acox1
-0.2588813423645312,0.0111926550275318,0.0128680206231958,plate,acox1
0.2552916595201547,4.7500052481055017e-11,0.0163174917890584,well,acox1
0.1068413812058764,3.044124685289709e-19,0.0117681501898679,plate_row,acox1
0.0634402172164887,6.238331070517419e-06,0.0013229127259459,plate_column,acox1
0.1529239165397001,0.0142752068633106,0.0022650343930197,date_processing,acox1
-5.886870087117504e-05,2.2114941237314274e-09,0.0010761419383298,storage_time,acox1
0.0118651871533964,0.4680348474311607,0.0002170919249069204,batch,acox1
0.0030291454799266,1.7714539766067086e-21,0.0027718279903289,age,acp1
0.0890723344886513,1.4658892156565199e-67,0.0091993291252336,sex,acp1
-1.236500000000187,0.0536005725490036,0.0695500291204531,date_centre,acp1
0.2413315732767724,3.3888815822805104e-33,0.024640824443643,centre,acp1
0.2066896810207257,0.0182603328764762,0.0138161826215187,plate,acp1
-0.2522084307393818,1.607641647410277e-14,0.0362552058447229,well,acp1
0.1351298456877408,8.176274412366103e-41,0.0272768980068224,plate_row,acp1
-0.0450288903956323,0.00020145685420001988,0.0033199806016105,plate_column,acp1
-0.1520033010752682,0.0291644808787236,0.0027481299690559,date_processing,acp1
-0.00011471451642017476,1.965645613799549e-41,0.0055549820117573,storage_time,acp1
0.0314457970141165,0.0254403242419816,0.0005462055843411221,batch,acp1
0.0085754821447473,7.390340680509759e-246,0.0329993752406783,age,acp5
0.1446565103774598,2.9518639490535944e-269,0.0361097042363646,sex,acp5
0.9088833333341576,0.0208060609524273,0.036463045127988,date_centre,acp5
-0.0695567091719433,1.7135949986254424e-05,0.0049973418178466,centre,acp5
0.1655274712643756,0.0179784830673875,0.012684923805432,plate,acp5
0.1137786849085589,3.444979252774626e-05,0.0102185203808624,well,acp5
-0.0842990152702841,2.3390882690656828e-24,0.0053641424291325,plate_row,acp5
0.0223647648967462,0.0217893309419701,0.000931700237595258,plate_column,acp5
-0.0745950279329601,0.0625503418403237,0.0019031977088372,date_processing,acp5
9.127225371373643e-06,0.1827476260996545,5.3116977941383314e-05,storage_time,acp5
-0.0111124378366616,0.3425800821470393,5.352060659612958e-05,batch,acp5
0.004377609646889,1.1983409664085937e-17,0.0021751014830639,age,acp6
0.1163973948870708,3.4037079507330064e-45,0.0059065559525989,sex,acp6
2.7983999999989813,0.0085834515713954,0.0331399253537621,date_centre,acp6
-0.1023679837503233,0.0020646142020733,0.0019223099306497,centre,acp6
0.3205112852664518,0.0185244286716962,0.0119226613963678,plate,acp6
0.1667398768689519,0.0023954393120507,0.0046021797368298,well,acp6
-0.0604898131908133,0.00023741176595300532,0.0015300239457226,plate_row,acp6
-0.0311237901780223,0.1085221578856854,0.0004223950923050361,plate_column,acp6
0.3049005347593654,0.0194215570027572,0.0021620836597987,date_processing,acp6
-6.213746047068635e-05,4.66936372827142e-06,0.0006239280125814408,storage_time,acp6
0.0120408396058899,0.6177798327266142,6.893057127148206e-05,batch,acp6
0.0006380530265379834,0.0199621761554369,0.00016165638446479977,age,acrbp
0.0477364335477103,3.289790635141955e-27,0.0034788720771809,sex,acrbp
0.6846333333328365,0.0957997713681404,0.091761744399833,date_centre,acrbp
-0.1066745892488776,1.6851073480373063e-10,0.0109357481143602,centre,acrbp
-0.2094918171866545,0.0043871808791673,0.0120887479210156,plate,acrbp
-0.2039135820895527,1.1010623139073229e-12,0.0174115685154564,well,acrbp
-0.1005913220914395,1.6896926042276562e-30,0.0104077443318287,plate_row,acrbp
